ID,assignee,organization_x,assignee_id,name,assignee_id1,location_id1,organization_y,assignee_id2,location_id2
565024,c8f72131-3954-4f1a-83fc-cf77ead139f7,Cristofell Group,e0067ee7-43b9-4849-a702-d1e836f45c66,"Cristofell Group, Ltd.",c8f72131-3954-4f1a-83fc-cf77ead139f7,086f3455-16c8-11ed-9b5f-1234bde3cd05,Cristofell Group Ltd.,e0067ee7-43b9-4849-a702-d1e836f45c66,3ea7ab33-cb8e-11eb-9615-121df0c29c1e
565073,c905d106-78b1-461d-b188-58e2da548957,Isotec International Inc,a89f137e-419a-4c2d-b892-bd8e5a76cc59,Isotec International Incorporated,c905d106-78b1-461d-b188-58e2da548957,f443f8ad-16c7-11ed-9b5f-1234bde3cd05,"Isotec International, Inc,",a89f137e-419a-4c2d-b892-bd8e5a76cc59,3c96ea3c-cb8e-11eb-9615-121df0c29c1e
565138,c91eb704-bde2-4939-ba05-27695b52e0c4,Cogniac,e4e30ed9-c925-4aac-be46-1e5336e85590,Cogniac Corporation,c91eb704-bde2-4939-ba05-27695b52e0c4,13f05eea-16c8-11ed-9b5f-1234bde3cd05,"Cogniac, Corp.",e4e30ed9-c925-4aac-be46-1e5336e85590,fbba9d95-cb8f-11eb-9615-121df0c29c1e
565161,c927a8eb-acee-4d2d-84cc-98513ea7dd23,Sunoco Development,c2850b62-46aa-463f-983b-a95c52facdb8,Sunoco Energy Development Inc,c927a8eb-acee-4d2d-84cc-98513ea7dd23,f159f837-16c7-11ed-9b5f-1234bde3cd05,"Sunoco Development, Inc.",c2850b62-46aa-463f-983b-a95c52facdb8,fbd8795f-cb8f-11eb-9615-121df0c29c1e
565643,c992e617-0396-438e-9027-3da7dfdd550c,Inspired Life Medical,529bcace-39ac-4a70-8c5f-cbd9acf51b7f,"Inspired Life Medical, Inc.",c992e617-0396-438e-9027-3da7dfdd550c,d34702f7-16c7-11ed-9b5f-1234bde3cd05,"Inspired Life Medical, Inc.",529bcace-39ac-4a70-8c5f-cbd9acf51b7f,44cd99ce-cb8e-11eb-9615-121df0c29c1e
565720,c9abda58-b3ed-45e4-9878-5e52393b0e3c,Control And Power Systems,0e26609b-1624-437a-81fb-fdc26d6bf045,"Omc Power Systems, Inc.",c9abda58-b3ed-45e4-9878-5e52393b0e3c,088078dc-16c8-11ed-9b5f-1234bde3cd05,"Control & Power Systems, Inc.",0e26609b-1624-437a-81fb-fdc26d6bf045,c3caa9fa-cb8e-11eb-9615-121df0c29c1e
565723,c9acace3-6f43-4c53-908f-c5ac0f620c26,The Flamemaster,d975a55f-1a04-45c6-a0b5-c5856d7a16ec,The Flamemaster Corporation,c9acace3-6f43-4c53-908f-c5ac0f620c26,198b0c3f-16c8-11ed-9b5f-1234bde3cd05,The Flamemaster Corporation,d975a55f-1a04-45c6-a0b5-c5856d7a16ec,9636bc5a-cb90-11eb-9615-121df0c29c1e
566591,ca3e2c0f-4029-483f-bc7c-0978dfd0126f,Skyller Associates,605b8ed4-f252-4899-b639-dc66f612f442,Skyller Associates Llc,ca3e2c0f-4029-483f-bc7c-0978dfd0126f,0bf8c89d-16c8-11ed-9b5f-1234bde3cd05,Skyller Associates L.L.C.,605b8ed4-f252-4899-b639-dc66f612f442,3cb8f3df-cb8e-11eb-9615-121df0c29c1e
566701,ca5db829-5da7-4982-83bc-95dd22effa1b,Hollingsworth Saco Lowell,fcd24023-6c7e-4f87-9ef8-d399fbe9106d,Hollingsworth Saco Lowell Inc.,ca5db829-5da7-4982-83bc-95dd22effa1b,5be628f1-16c8-11ed-9b5f-1234bde3cd05,"Hollingsworth Saco Lowell, Inc.",fcd24023-6c7e-4f87-9ef8-d399fbe9106d,c60329aa-cb8f-11eb-9615-121df0c29c1e
566827,ca874226-f6e6-428e-8dd9-93a29db6160b,Flexible Barricades,a796def6-ecec-4c6c-af52-7671e1b4e56b,"Flexible Barricades, Incorporated",ca874226-f6e6-428e-8dd9-93a29db6160b,0738cdcc-16c8-11ed-9b5f-1234bde3cd05,"Flexible Barricades, Inc.",a796def6-ecec-4c6c-af52-7671e1b4e56b,e2c9619c-09be-11ec-893a-12de62d610b1
566848,ca8f599d-d45c-4842-900b-cdc030ed3d83,Booth Management Assistants,4f5eaefb-9ff4-4e9c-9a61-a62f654bc4ef,"B.M.A., Inc.",ca8f599d-d45c-4842-900b-cdc030ed3d83,c1bffd96-16c7-11ed-9b5f-1234bde3cd05,"Booth Management Assistants, Inc.",4f5eaefb-9ff4-4e9c-9a61-a62f654bc4ef,fdc112b0-cb8e-11eb-9615-121df0c29c1e
566933,caad8b33-9e00-47f3-b9c4-b345576c480a,Bison Sportslights,b1ed03fd-6529-491f-bbe5-e014513c3eed,"Bison Sportslights, Inc.",caad8b33-9e00-47f3-b9c4-b345576c480a,cf720441-16c7-11ed-9b5f-1234bde3cd05,"Bison Sportslights, Inc.",b1ed03fd-6529-491f-bbe5-e014513c3eed,ba506e00-cb8e-11eb-9615-121df0c29c1e
